Country Name,Year,GDP growth (annual %),General government final consumption expenditure (% of GDP),hdi index
Brunei Darussalam,2009,-1.900253862,22.97522597,0.823
Brunei Darussalam,2010,2.741364335,22.15193594,0.825
Brunei Darussalam,2011,3.744406387,18.72879694,0.829
Brunei Darussalam,2012,0.9131353244,18.43806131,0.836
Brunei Darussalam,2013,-2.124783186,20.16437995,0.835
Brunei Darussalam,2014,-2.507887216,21.41763368,0.834
Brunei Darussalam,2015,-0.3923834879,25.0616661,0.832
Brunei Darussalam,2016,-2.477917765,26.22317864,0.83
Brunei Darussalam,2017,1.328726513,26.47724699,0.829
Brunei Darussalam,2018,0.05237105447,24.14172854,0.826
Brunei Darussalam,2019,3.868844164,25.04039617,0.827
Brunei Darussalam,2020,1.133573406,25.43098596,0.827
Brunei Darussalam,2021,-1.590762481,22.467059,0.824
Brunei Darussalam,2022,-1.62833154,20.12423823,0.823
Brunei Darussalam,2023,1.407068323,22.81804665,0.837
Cambodia,2009,4.074778506,6.296904564,0.538
Cambodia,2010,5.076918432,6.475082916,0.542
Cambodia,2011,7.286658139,6.160172099,0.546
Cambodia,2012,7.650256579,5.945607568,0.551
Cambodia,2013,7.857499755,5.829002849,0.554
Cambodia,2014,8.000320746,5.640930453,0.559
Cambodia,2015,7.207034725,5.461082875,0.564
Cambodia,2016,7.905501161,5.320850037,0.573
Cambodia,2017,8.075039155,5.244503357,0.581
Cambodia,2018,8.776223762,4.948207579,0.588
Cambodia,2019,7.936950136,4.809338638,0.596
Cambodia,2020,-3.555721934,5.422165844,0.596
Cambodia,2021,3.089842841,6.565786405,0.596
Cambodia,2022,5.103368887,5.899853929,0.6
Cambodia,2023,4.960066589,6.077860903,0.606
Indonesia,2009,4.628871183,9.589178147,0.66
Indonesia,2010,6.223854181,9.005914993,0.667
Indonesia,2011,6.169784208,9.05867718,0.674
Indonesia,2012,6.030050653,9.248788371,0.682
Indonesia,2013,5.557263689,9.517719963,0.687
Indonesia,2014,5.006668426,9.425025719,0.69
Indonesia,2015,4.8763223,9.74941377,0.698
Indonesia,2016,5.033069183,9.52781009,0.701
Indonesia,2017,5.069785901,9.120571152,0.708
Indonesia,2018,5.17429154,9.021231804,0.712
Indonesia,2019,5.01928768,8.808471291,0.718
Indonesia,2020,-2.065511829,9.655750531,0.712
Indonesia,2021,3.702885628,9.246941615,0.707
Indonesia,2022,5.307419348,7.683280589,0.713
Indonesia,2023,5.048105771,7.445394045,0.728
Malaysia,2009,-1.513528716,13.04847957,0.761
Malaysia,2010,7.424847383,12.58116903,0.768
Malaysia,2011,5.293912834,13.27066148,0.771
Malaysia,2012,5.473454193,13.84213366,0.777
Malaysia,2013,4.693722526,13.71540152,0.782
Malaysia,2014,6.006721946,13.32874807,0.787
